htid,title,org
coo.31924054285881,Financial and statistical report ,International Ladies' Garment Workers' Union Convention. 
coo.31924055999191,Annual report ,Women's Trade Union League of New York 
coo.31924055050581,The program explained ,League of Women Voters (U.S.) 
coo.31924055904126,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924059259816,Sustainable agriculture and suburban markets what's the connection? ,"League of Women Voters of Briarcliff, Ossining, Croton and Cortlandt (N.Y.) "
coo.31924055904126,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924062280817,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924062243286,"Justice (N.Y. N.Y., 1919) ",International Ladies' Garment Workers' Union 
coo.31924062801950,"Know your schools a guide to education in Tompkins County, New York ","League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924062247865,The New York teacher ,Teachers' Union of the City of New York 
coo.31924065896304,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924062247899,The New York teacher ,Teachers' Union of the City of New York 
coo.31924065896395,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924069098097,"Justice (N.Y. N.Y., 1919) ",International Ladies' Garment Workers' Union 
coo.31924067244057,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924070949833,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924071634160,Financial and statistical report ,International Ladies' Garment Workers' Union 
coo.31924082748322,Financial statement for ,Industrial Workers of the World 
coo.31924082748330,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082758586,Financial statement for ,Industrial Workers of the World 
coo.31924069101305,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924082758594,Financial statement for ,Industrial Workers of the World 
coo.31924062272897,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
coo.31924070949635,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924082758610,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924086638453,Conference on homeworking ,International Ladies' Garment Workers' Union 
coo.31924088091560,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
coo.31924088091578,"General Executive Board report, ... Convention, International Ladies Garment Workers Union ",International Ladies' Garment Workers' Union General Executive Board. 
coo.31924070949643,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924070949759,The Woman's journal ,League of Women Voters (U.S.) 
coo.31924071634160,Financial and statistical report ,International Ladies' Garment Workers' Union Convention. 
coo.31924062280817,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924088091586,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924062362060,"Justice (N.Y. N.Y., 1919) ",International Ladies' Garment Workers' Union 
coo.31924092444953,Financial and statistical report ,International Ladies' Garment Workers' Union Convention. 
coo.31924082748314,Financial statement for ,Industrial Workers of the World 
coo.31924066775333,"Justice (N.Y. N.Y., 1919) ",International Ladies' Garment Workers' Union 
coo.31924082748314,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924069101313,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924082748322,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924069101339,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
coo.31924082748348,Financial statement for ,Industrial Workers of the World 
coo.31924082748348,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo1.ark:/13960/t7pn9nk1v,"Women in industry decision of the United States Supreme Court in Curt Muller vs. State of Oregon, upholding the constitutionality of the Oregon ten hour law for women and brief for the State of Oregon ",National Consumers' League 
coo.31924082748355,Financial statement for ,Industrial Workers of the World 
coo.31924070949742,The Woman's journal ,League of Women Voters (U.S.) 
coo1.ark:/13960/t7tm7sc5w,The consumer's control of production the work of the National consumers' league ,National Consumers' League 
coo.31924082748355,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082748314,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
dul1.ark:/13960/t5fb9wp0s,The campaign against sweating ,National Consumers' League 
coo.31924082758586,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924082748322,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082758594,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082748330,Financial statement for ,Industrial Workers of the World 
emu.010002418436,"Constitution and book of laws made for the government of the Universal Negro Improvement Association, Inc., and African Communities' League, Inc., of the World : in effect July, 1918 : revised and amended Aug., 1920 : revised and amended Aug., 1921 ",Universal Negro Improvement Association 
coo.31924082758602,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924082748348,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
coo.31924082748355,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
hvd.32044004319224,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts Special Committee appointed by the Executive Board. 
coo.31924082778972,Bulletin ,Consumers' League of New York City 
coo.31924086638453,"From the double day to the endless day a conference on homeworking for homeworkers, union and community activists and researchers, November 13-15, 1992 : proceedings and background papers ",International Ladies' Garment Workers' Union 
hvd.32044032440604,Memorandum addressed to the Joint Legislative Committee investigating the New York Public Service Commissions on the need of legislation empowering the commissions to regulate hours of work and wages of employees of public utility companies ,National Consumers' League 
coo.31924087556019,Roots of the consumer movement a chronicle of consumer history in the twentieth century ,National Consumers' League 
coo.31924082758586,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
hvd.32044086956380,"Official program Navy day address by Col. Theodore Roosevelt, American Navy, July 2-3, 1913, Newport, R.I ",Progressive Party Rhode Island. 
coo1.ark:/13960/t2r506t5j,"The Progressive Party its record from January to July, 1916, including statements and speeches of Theodore Roosevelt ",Progressive Party (1912) National Committee. 
coo.31924082758594,General organization bulletin for ... ; Financial statement for ,Industrial Workers of the World 
hvd.32044087362646,Women in industry decision of the United States Supreme Court in Curt Muller vs. State of Oregon : upholding the constitutionality of the Oregon ten hour law for women and brief for the State of Oregon ,National Consumers' League 
coo1.ark:/13960/t6f19hj8g,"Report to the Louisiana State Commission to Study the Conditions of Working Women and Children, appointed by Governor Hall, July 3, 1914 ",National Consumers' League New Orleans Chapter. 
hvd.32044087373692,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts 
coo1.ark:/13960/t6f19hj8g,Wage investigation made by the New Orleans Chapter of the National Consumers' League ,National Consumers' League New Orleans Chapter. 
coo.31924082758602,The general organization bulletin for ... and The financial statement for ,Industrial Workers of the World 
coo.31924082758610,Financial statement for ,Industrial Workers of the World 
hvd.32044100860873,"Child labor legislation schedules of existing statutes and standard child labor law embodying the best provisions of the most effective measures now in force : handbook, 1908 ",National Consumers' League 
dul1.ark:/13960/t5p893w89,A Living wage for working women of the post-war world one essential factor in reconstruction : minimum wage laws in every state ,National Consumers' League 
coo.31924092444953,Financial and statistical report ,International Ladies' Garment Workers' Union 
coo1.ark:/13960/t45q5gm5v,"Labor laws of New York a handbook, comp. by Katharine Anthony for the Brooklyn auxiliary of the Consumers' league of the city of New York, March 1, 1917 ",Consumers' League of New York City Brooklyn Auxilliary. 
emu.010002408467,Universal black men catechism ,Universal Negro Improvement Association 
hvd.32044014665574,The socialist review ,Intercollegiate Socialist Society (U.S.) 
hvd.32044087387908,"Memories of Jane Cunningham Croly, ""Jenny June"" ","Sorosis (New York, N.Y.) "
hvd.32044013641089,"Memories of Jane Cunningham Croly, ""Jenny June"" ","Sorosis (New York, N.Y.) "
hvd.32044096984315,Directory of the trades and occupations taught at the day and evening schools in greater New York ,"Henry Street Settlement (New York, N.Y.) "
hvd.32044031925530,Earnings of women in factories and a legal living wage ,National Consumers' League 
hvd.32044032119935,"The Massachusetts plan for the initiative and the referendum, presented to the General Court of 1914 ",Progressive Party of Massachusetts Legislative Bureau. 
hvd.32044102966231,Social diseases ,New York Social Hygiene Society 
hvd.hn25h2,The evolution of bird-song with observations on the influence of heredity and limitation ,"Witchell, Charles A d. 1907 "
hvd.hnmdum,A new province for law and order industrial peace through minimum wage and arbitration ,National Consumers' League 
hvd.hn6ixd,"Selections from the writing of the presidents of Sorosis a souvenir from the breakfast at Sherry's, March 20, 1893, in honor of the twenty-fifth anniversary of the club ","Sorosis (New York, N.Y.) "
hvd.hxtagc,Club women of New York ,New York City Federation of Women's Clubs 
hvd.32044087373692,The history of trade unionism among women in Boston ,Women's Trade Union League of Massachusetts Special Committee appointed by the Executive Board. 
hvd.li239m,The Ladies' garment worker ,International Ladies' Garment Workers' Union 
hvd.li239n,The Ladies' garment worker ,International Ladies' Garment Workers' Union 
hvd.32044102966249,Social diseases ,New York Social Hygiene Society 
hvd.li239r,The Ladies' garment worker ,International Ladies' Garment Workers' Union 
hvd.rslyby,"Selections from the writings of the presidents of Sorosis A souvenir of the breakfast at Sherry's, March 20, 1893, in honor of the twenty-fifth anniversary of the club ",Sorosis Club 
hvd.32044102966256,Social diseases ,New York Social Hygiene Society 
hvd.li2qu7,Proceedings of the ... annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
iau.31858009952296,Financing and organization of the tax-supported system of education in Iowa ,League of Women Voters of Iowa 
hvd.32044107163875,The evolution of bird-song with observations on the influence of heredity and limitation ,"Witchell, Charles A d. 1907 "
iau.31858009952296,Higher education study materials of the League of Women Voters of Iowa ,League of Women Voters of Iowa 
iau.31858016261533,Higher education study materials of the League of Women Voters of Iowa ,League of Women Voters of Iowa 
