htid,title,org
inu.30000108518758,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000055098549,Man on the flying trapeze ,"International Ladies' Garment Workers' Union Local 89 (New York, N.Y.) "
inu.30000056899705,"A study of the water supply and sewage disposal systems of Bloomington, Indiana ","League of Women Voters of Bloomington, Indiana "
inu.30000080360203,"Monroe County, Indiana, 1964-65 ","League of Women Voters of Bloomington, Indiana "
inu.30000108518782,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000087191783,The national voter registration act implementation status report ,League of Women Voters (U.S.) Education Fund. 
inu.30000108518824,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000094805839,"Here is your local government the city of Bloomington and Monroe County, Indiana ","League of Women Voters of Bloomington, Indiana "
inu.30000108518865,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000108518873,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000095275990,Public welfare in Monroe County ,"League of Women Voters of Bloomington, Indiana "
inu.30000110539586,"Groundwater, educating for action ",League of Women Voters (U.S.) Education Fund. 
mdp.39015071327327,"Know your township government Benton and St. Joseph Townships, Berrien County, Michigan ",League of Women Voters of the Benton Harbor-St. Joseph Area 
inu.30000095334441,Spotlight on government a look at local government ,"League of Women Voters of South Clark County (Jeffersonville, Ind.) "
mdp.39015071327566,Clark Township know your town ,"League of Women Voters of Sault Sainte Marie and Les Cheneaux Area, Mich "
coo.31924003675117,Annual report ,Women's Trade Union League of New York 
inu.30000111342345,Tips for Board members ,League of Women Voters of Indiana 
inu.30000096447333,This is Brown County a citizen's guide to local government ,"League of Women Voters of Brown County, Indiana "
mdp.39015071332665,Know your town a booklet of factual information about Ann Arbor's city government ,League of Women Voters of Ann Arbor 
inu.30000120951524,Guide to candidate debates ,League of Women Voters (U.S.) Education Fund. 
inu.30000120951532,Talking trash a citizen education guide for community leaders and activists ,League of Women Voters (U.S.) Education Fund. 
inu.32000002832071,A rigid constitution the decentralization of government and the administration of justice. A report prepared for the Progressive Party of South Africa by a commission of experts ,Progressive Party of South Africa 
inu.30000100556848,Directory of Monroe County governmental officials 1975 ,League of Women Voters (U.S.) Education Fund. 
mdp.39015071332699,Know your town a booklet of factual information about Ann Arbor's city government ,League of Women Voters of Ann Arbor 
inu.30000100556848,Directory of Monroe County governmental officials 1975 ,League of Women Voters of Bloomington-Monroe County 
inu.39000003203002,Choosing the president ,League of Women Voters 
inu.30000100556848,Governmental officials 1974 ,"League of Women Voters of Bloomington, Indiana "
inu.30000100556848,Governmental officials directory 1976 ,"League of Women Voters of Bloomington, Indiana "
inu.39000005938845,IWW songs ,Industrial Workers of the World 
inu.30000100556848,Governmental officials list 1973 ,"League of Women Voters of Bloomington, Indiana "
loc.ark:/13960/t1rf6679m,"Continuous mediation without armistice a development of the idea of a continuous conference of neutral nations, which has occurred independently to others besides the author of the pamphlet ",Woman's Peace Party 
loc.ark:/13960/t6tx3tp83,"Towards the new education the case against autocracy in our public schools ( being a reply to a pamphlet issued by the Schoolmasters' association of New York and vicinity and the American defense society, entitled, "" Unpatriotic teaching in public schools."") ",Teachers' Union of the City of New York 
mdp.39015071337847,Escanaba. Know your town a hand book of local government ,League of Women Voters of Escanaba 
inu.30000108516273,Precinct party participation politics in Indiana ,League of Women Voters of Indiana 
mdp.39015000698152,Proceedings of the ... annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015071343415,"Cities yesterday, today and tomorrow ",League of Women Voters of the Detroit Metropolitan Area 
mdp.39015004164326,Memo ,Women Strike for Peace 
mdp.39015004164326,Women Strike for Peace memo ,Women Strike for Peace 
mdp.39015005312965,WISP memo ,Women Strike for Peace 
inu.30000108518808,Four lights an adventure in internationalism ,Woman's Peace Party 
inu.30000108518832,Four lights an adventure in internationalism ,Woman's Peace Party 
mdp.39015005317022,Women Strike for Peace memo ,Women Strike for Peace 
mdp.39015071353976,Know your towns ,League of Women Voters of Hancock and Houghton 
inu.30000108518840,Four lights an adventure in internationalism ,Woman's Peace Party 
mdp.39015005317022,WSP memo ,Women Strike for Peace 
inu.30000108518899,Four lights an adventure in internationalism ,Woman's Peace Party 
mdp.39015012070267,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
inu.30000109227706,Who's in charge here? a look at local government in Terre Haute and Vigo County ,"League of Women Voters of Terre Haute, Indiana "
inu.30000110539586,Protect your groundwater educating for action ,League of Women Voters (U.S.) Education Fund. 
mdp.39015014733318,"Platforms of the national Republican and Democratic parties, 1928 ",League of Women Voters (U.S.) 
inu.30000115855110,Voters service handbook ,League of Women Voters (U.S.) 
mdp.39015019635906,"The Student voice, 1960-1965 periodical of the Student Nonviolent Coordinating Committee ",Student Nonviolent Coordinating Committee (U.S.) 
mdp.39015021306454,Winter soldiers the story of a conspiracy against the schools ,Teachers' union of the city of New York 
mdp.39015023102927,"The story of disarmament, 1945-196 ",Women Strike for Peace 
mdp.39015028060609,"Twenty-five years of Greenwich house, 1902-1927 ","Greenwich House (New York, N.Y.) "
inu.30000117495428,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
mdp.39015030063989,"Leading film discussions a guide to using films for discussion, training leaders, planning effective programs ",League of Women Voters of the City of New York 
inu.30000118519101,Impact on issues 1994-96 a leader's guide to national program ,League of Women Voters (U.S.) 
mdp.39015071358447,"Today and tomorrow in the Lansing metropolitan area local government in Lansing, East Lansing, Meridian Charter Township, Ingham County, and problems of the metropolitan area ",League of Women Voters of the Lansing Area 
mdp.39015035599821,"Forty-cent minimum wage for the women's apparel industry a memorandum submitted by the International Ladies' Garment Workers' Union to Industry Committee no. 27 for the Women's Apparel Industry, Wage and Hour Division, U.S. Department of Labor ",International Ladies' Garment Workers' Union 
mdp.39015071359171,Tomorrow's leaders go to school today a study of the Livonia School District ,"League of Women Voters of Livonia, Mich "
inu.30000118519119,Getting into issues your guide to the 1996 elections ,League of Women Voters (U.S.) Education Fund. 
mdp.39015071376316,Know Port Huron ,League of Women Voters of Port Huron 
inu.32000004957942,We shall overcome! songs of the Southern freedom movement ,Student Nonviolent Coordinating Committee (U.S.) 
mdp.39015071377124,A study of Royal Oak and its government ,League of Women Voters of Royal Oak 
inu.32000005080314,Indiana voters' handbook ,League of Women Voters of Indiana 
mdp.39015035886939,"Basic facts and figures on the women's apparel industry a supplementary memorandum submitted by the International Ladies' Garment Workers' Union to Industry Committee no. 27, for the Women's Apparel Industry, Wage and Hour Division, U.S. Department of Labor ",International Ladies' Garment Workers' Union 
mdp.39015038783083,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015039330082,"Cincinnati, then and now ",League of Women Voters of Cincinnati 
mdp.39015042601487,"Choosing the president, 1984 ",League of Women Voters (U.S.) Education Fund. 
inu.32000009110414,The poor people's campaign [a photographic journal ,Southern Christian Leadership Conference 
inu.32000013007465,Know your town : a look at local government ,"League of Women Voters of Columbus, Indiana "
inu.39000001477012,"A guide, Bloomington, Monroe Co., Indiana ",League of Women Voters of Bloomington-Monroe County 
mdp.39015050004228,After Watergate Nixon and the newsweeklies ,"Witcher, Russ. "
mdp.39015054266781,Me times three a novel ,"Witchel, Alex. "
mdp.39015071379740,Our town Sault Sainte Marie ,League of Women Voters of Sault Sainte Marie and Les Cheneaux Area 
inu.39000005666909,"A guide: Bloomington, Monroe Co. Indiana ",League of Women Voters of Bloomington-Monroe County 
mdp.39015071379740,Sault Sainte Marie ,League of Women Voters of Sault Sainte Marie and Les Cheneaux Area 
inu.39000005938845,Songs of the workers ,Industrial Workers of the World 
mdp.39015073473574,Safety at sea series ,National Consumers' League 
mdp.39015066977300,Child labor legislation Schedules of existing statutes and the standard child labor law embodying the best provisions of the most effective measures now in force. Handbook ,National Consumers' League 
inu.39000007582229,Practice and procedure ,"Witchell, Rowland G. "
mdp.39015073787262,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015069452905,"They represent you in Washington, in Albany, in New York City ",League of Women Voters of the City of New York 
loc.ark:/13960/t9x065q3v,Why I am dissatisfied ,Universal Negro Improvement Association. [from old catalog] 
mdp.39015073787270,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015069746074,Evolution of American agriculture ,Industrial Workers of the World 
mdp.39015003221846,Rape the first sourcebook for women ,New York Radical Feminists 
mdp.39015073787288,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015069801267,Performance and promise: New York City's local school boards revisited ,Women's City Club of New York 
mdp.39015073787304,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015005312957,Memo ,Women Strike for Peace 
mdp.39015005312965,Women Strike for Peace memo ,Women Strike for Peace 
mdp.39015005312965,WSP memo ,Women Strike for Peace 
mdp.39015070474732,Journal ,New York Social Hygiene Society 
mdp.39015005317022,WISP memo ,Women Strike for Peace 
mdp.39015070475226,Journal ,New York Social Hygiene Society 
mdp.39015006126794,Recreation and parks case studies in local program ,League of Women Voters (U.S.) 
mdp.39015070475242,Journal ,New York Social Hygiene Society 
mdp.39015073787312,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015009003008,"Know your Grosse Pointe: Park, City, Farms, Woods, Shores ",League of Women Voters of Grosse Pointe 
mdp.39015070475358,Journal ,New York Social Hygiene Society 
mdp.39015010934381,Know your schools a book of factual information about education available in the Ann Arbor School District ,League of Women Voters of Ann Arbor 
mdp.39015071177250,Legislative action handbook ,League of Women Voters of Michigan 
mdp.39015073787320,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015011532283,The German problem roadblock to disarmament ,Women Strike for Peace 
mdp.39015071179587,From the grass roots - citizens in government because democracy is not a spectator sport ,League of Women Voters of Michigan 
mdp.39015073787346,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015011884486,A survey of the legal status of women in the forty-eight states ,League of Women Voters (U.S.) Dept. of Legal Status of Women. 
mdp.39015073787346,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015012893155,The Industrial union bulletin ,Industrial Workers of the World 
mdp.39015071179678,The state we're in a citizen's guide to Michigan state government ,League of Women Voters of Michigan 
mdp.39015016256094,Know your schools a book of factual information about public education available to children in the Ann Arbor School District ,League of Women Voters of Ann Arbor 
mdp.39015071292091,Facts about Bloomfield Hills Schools ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015071299484,"Local government in Kent County the county, the township, the school district ",League of Women Voters of Grand Rapids 
mdp.39015073787353,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071302569,"Citizen's guide to local government Avon, Oakland, and Pontiac Townships, Village of Lake Angelus, City of Rochester ",League of Women Voters (U.S.) Education Fund. 
mdp.39015073787361,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071302650,Know your Oakland County government ,League of Women Voters of Michigan 
mdp.39015073787379,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015019608481,The Los Angeles Public Library [a study within the context of city government] ,League of Women Voters of Los Angeles 
mdp.39015071304342,Dearborn schools through the eyes of the League of Women Voters ,League of Women Voters of Dearborn 
mdp.39015073787379,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071304359,The League looks at schools ,League of Women Voters of Dearborn 
mdp.39015073787387,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015028077520,Behind the scenes in candy factories ,Consumers' League of New York City 
mdp.39015028077520,"Candy factories, Behind the scenes in ",Consumers' League of New York City 
mdp.39015071304433,Dearborn a handbook for citizens and students to help them take an informed and active part in the affairs of the community ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015073787387,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071332640,"Ann Arbor city government, a pamphlet of factual information ",League of Women Voters of Ann Arbor 
mdp.39015073787403,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787403,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015032426325,The Nuclear waste primer ,League of Women Voters (U.S.) Education Fund. 
mdp.39015071340676,Our city government ,League of Women Voters of Grand Rapids 
mdp.39015071358801,"Citizens handbook, Lapeer, Michigan ",League of Women Voters of Lapeer 
mdp.39015071374964,Know your Ontonagon area a guide to Carp Lake Township and Ontonagon Village ,League of Women Voters of the Copper Country 
mdp.39015071376324,Know Port Huron ,League of Women Voters of Port Huron 
mdp.39015071377090,A survey of tax-supported recreation in Royal Oak ,League of Women Voters of Royal Oak 
mdp.39015071381951,"What we have learned about our Wayne Community School District a preliminary study report, 1960-1961 ",League of Women Voters of Wayne School Study Committee. 
mdp.39015073787411,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071381969,Cold facts and common sense about the Wayne Community School District a booklet of factual information ,League of Women Voters of Wayne 
mdp.39015073787411,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071383007,Our Ypsilanti city and township ,League of Women Voters of Ypsilanti 
mdp.39015073787437,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071815026,The State we're in a citizen's guide to Michigan State government ,League of Women Voters of Michigan 
mdp.39015073787445,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073270012,Bulletin ,Consumers' League of New York City 
mdp.39015073787452,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073270020,Bulletin ,Consumers' League of New York City 
mdp.39015073492509,The Port Huron statement ,Students for a Democratic Society (U.S.) 
mdp.39015032973870,Vincent D. Smith riding on a blue note : monoprints and works on paper on jazz themes ,"Henry Street Settlement (New York, N.Y.) "
mdp.39015073787460,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015033599104,Washtenaw County government a pamphlet of factual information ,League of women voters of Ann Arbor 
mdp.39015073787460,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073497557,Facts. Finnish ,Industrial Workers of the World 
mdp.39015034356264,Massachusetts State government ,League of Women Voters of Massachusetts 
mdp.39015073787478,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073497557,"Tosiasioita I.W.W. uniosta sen tarkoitus ja pÃƒÂ_ÃƒÂ_mÃƒÂ_ÃƒÂ_rÃƒÂ_ sekÃƒÂ_ yleisen rekryyttiunion rakenne ; (Suomennos englanninkielisestÃƒÂ_ kirjasesta ""Facts"") ",Industrial Workers of the World 
mdp.39015073787502,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015038783075,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015073787254,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787502,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015046418516,"Marcus Garvey life and lessons, a centennial companion to the Marcus Garvey and Universal Negro Improvement Association papers ",Universal Negro Improvement Association 
mdp.39015073787254,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787270,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787544,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015050283939,Father Jerome Tupa paints the California missions ,"Witchey, Holly Rarick. "
mdp.39015073787270,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787551,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787569,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787270,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787585,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015050621823,A citizen's guide to Louisiana government ,League of Women Voters of Louisiana 
mdp.39015073787288,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787585,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015050646861,"Key to the Keystone State, Pennsylvania ",League of Women Voters of Pennsylvania 
mdp.39015073787296,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787585,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015053413491,"Papers, 1958-1970 ",Students for a Democratic Society (U.S.) 
mdp.39015073787312,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787593,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015053413491,"SDS papers, 1958-1970 ",Students for a Democratic Society (U.S.) 
mdp.39015073787320,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787593,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015053414234,"Records of the Southern Christian Leadership Conference, 1954-1970 ",Southern Christian Leadership Conference 
mdp.39015073787320,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787593,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015057948633,The Connecticut citizen's handbook a guide to the state government ,League of Women Voters of Connecticut Education Fund. 
mdp.39015070475036,Journal ,New York Social Hygiene Society 
mdp.39015073787619,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015070475374,Journal ,New York Social Hygiene Society 
mdp.39015073787627,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015070475382,Journal ,New York Social Hygiene Society 
mdp.39015073787320,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015070475408,Journal ,New York Social Hygiene Society 
mdp.39015073787635,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787346,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015070475416,Journal ,New York Social Hygiene Society 
mdp.39015073787635,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787346,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787346,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015070475424,Journal ,New York Social Hygiene Society 
mdp.39015073787643,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787353,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071115276,"Know your city a book of factual information about the city of Ann Arbor, Michigan ",League of Women Voters of the Ann Arbor Area 
mdp.39015073787650,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071175502,"Con-Con story the campaign for a Constitutional Convention in Michigan, 1957-58 ",League of Women Voters of Michigan 
mdp.39015073787650,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071176310,"Support a platform for constitutional revisions which will provide a basic framework for state government free of statutory detail 1961-63 state item I resource kit, volume I ",League of Women Voters of Michigan 
mdp.39015073787650,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787650,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787353,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071179587,From the grass roots - citizens in government because democracy is not a spectator sport ,League of Women Voters of Michigan Education Fund. 
mdp.39015073787676,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071179611,The green grass roots a political notebook for people who want to participate ,League of Women Voters of Michigan 
mdp.39015073787684,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787361,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787387,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071179629,The Green grass roots a notebook for people who want to participate in the political process ,League of Women Voters of Michigan Education Fund. 
mdp.39015073787684,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787387,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071179637,The Green grass roots a notebook for people who want to participate ,League of Women Voters of Michigan 
mdp.39015073787684,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787403,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071179744,The initiative and referendum in the charters of local governments in Michigan ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015073787692,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787429,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787429,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071180254,The state we're in a citizen's guide to Michigan state government ,League of Women Voters of Michigan 
mdp.39015073787700,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787452,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071238714,Low-level radioactive waste disposal in Michigan the community role ,League of Women Voters of Michigan 
mdp.39015073787700,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787718,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071255064,Liberation will come from a black thing ,Students for a Democratic Society (U.S.) 
mdp.39015073787726,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071270519,Financing government services in Michigan ,League of Women Voters of Michigan 
mdp.39015073787460,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787734,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071284908,"Know your city a book of factual information about the City of Ann Arbor, Michigan ",League of Women Voters of the Ann Arbor Area 
mdp.39015073787460,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787734,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787478,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071292091,Facts about the Bloomfield Hills Schools ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015073787478,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787759,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787478,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071293578,"Know your county, Alpena ",League of Women Voters of Alpena County 
mdp.39015073787486,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787759,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071302569,"Citizen's guide to local government Avon, Oakland, and Pontiac Townships, Village of Lake Angelus, City of Rochester ",League of Women Voters of the Rochester Area 
mdp.39015071304474,Dearborn a handbook for citizens and students to help them take an informed and active part in the affairs of the community ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015071304581,Dearborn Heights ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015073787759,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071325206,Know your county a handbook of Washtenaw County government ,League of Women Voters of the Ann Arbor Area 
mdp.39015073787767,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015071326592,Know Your Wayne County government ,League of Women Voters of Detroit 
mdp.39015073787767,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071327566,Know your town : Les Cheneaux area ,"League of Women Voters of Sault Sainte Marie and Les Cheneaux Area, Mich "
mdp.39015073787767,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071331022,Know your Allen Park ,League of Women Voters of Allen Park 
mdp.39015071332616,Know your schools a guide to Ann Arbor Public Schools ,League of Women Voters of the Ann Arbor Area 
mdp.39015073787775,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787775,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787775,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787783,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071332657,Know your town a pamphlet of factual information about Ann Arbor's city government ,League of Women Voters of Ann Arbor 
mdp.39015073787494,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787783,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071337797,Government in Escanaba a handbook ,League of Women Voters of Escanaba 
mdp.39015073787494,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787783,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071343233,Know your Grosse Pointe ,League of Women Voters of Grosse Pointe 
mdp.39015073787502,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787817,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787502,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787817,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071362845,"The Midland Public Schools, Midland, Michigan ",League of Women Voters of the Midland Area 
mdp.39015073787528,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015073787817,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015071363314,Know your town a handbook on the many facets of Mt. Pleasant community life ,League of Women Voters of the Mt. Pleasant Area (Mich.) 
mdp.39015073787825,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071374394,"Niles, Michigan city of the four flags ",League of Women Voters of the Niles-Buchanan Area 
mdp.39015073787528,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787825,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787833,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787536,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787841,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015071376696,"Know your town Rochester, Oakland Township, Avon Township ",League of Women Voters of Rochester 
mdp.39015073787536,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787841,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787544,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787858,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
mdp.39015071380276,Know your town Southfield ,League of Women Voters of Southfield 
mdp.39015073787551,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787874,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073269964,Bulletin ,Consumers' League of New York City 
mdp.39015073787551,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787890,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073270327,Bulletin ,Consumers' League of New York City 
mdp.39015073787551,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787890,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787577,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
mdp.39015073787890,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787916,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787577,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787932,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073492517,The Port Huron Statement ,Students for a Democratic Society (U.S.) 
mdp.39015073787585,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787593,S.C.L.C ,Southern Christian Leadership Conference 
mdp.39015073787932,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
mdp.39015073787254,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
